Timestamp,Date,Time,ForefeetPressure,FrontAngle,SideAngle,UpAngle,Cadence,Speed,Lat,Lon
1457711048.455739,11.03.16,07:44:08.456,100,0,150,0, 20, 0, 38, -122
1457711048.547543,11.03.16,07:44:08.548,100,67,108,150, 21, 0, 38, -122
1457711048.697505,11.03.16,07:44:08.698,0,88,159,224, 21, 0, 38, -122
1457711048.760845,11.03.16,07:44:08.761,0,0,256,224, 21, 0, 38, -122
1457711048.848143,11.03.16,07:44:08.848,0,0,181,255, 21, 0, 38, -122
1457711048.967455,11.03.16,07:44:08.967,0,234,201,236, 21, 0, 38, -122
1457711049.056198,11.03.16,07:44:09.056,0,34,193,236, 21, 0, 38, -122
1457711049.147387,11.03.16,07:44:09.147,100,0,106,48, 22, 0, 38, -122
1457711049.298121,11.03.16,07:44:09.298,100,255,137,255, 23, 0, 38, -122
1457711049.365251,11.03.16,07:44:09.365,0,96,137,192, 23, 0, 38, -122
1457711049.447538,11.03.16,07:44:09.448,0,114,104,192, 23, 0, 38, -122
1457711049.567945,11.03.16,07:44:09.568,0,0,196,255, 23, 0, 38, -122
1457711049.655588,11.03.16,07:44:09.656,0,155,203,243, 23, 0, 38, -122
1457711049.747511,11.03.16,07:44:09.748,0,95,235,175, 23, 0, 38, -122
1457711049.867411,11.03.16,07:44:09.867,100,0,178,175, 24, 0, 38, -122
1457711049.956123,11.03.16,07:44:09.956,100,0,1,215, 25, 0, 38, -122
1457711050.048333,11.03.16,07:44:10.048,0,92,139,193, 25, 0, 38, -122
1457711050.167455,11.03.16,07:44:10.167,0,0,150,132, 25, 0, 38, -122
1457711050.255469,11.03.16,07:44:10.255,0,0,215,255, 25, 0, 38, -122
1457711050.347594,11.03.16,07:44:10.348,0,138,215,255, 25, 0, 38, -122
1457711050.467456,11.03.16,07:44:10.467,0,115,221,200, 25, 0, 38, -122
1457711050.587530,11.03.16,07:44:10.588,100,0,191,131, 26, 0, 38, -122
1457711050.656333,11.03.16,07:44:10.656,100,12,1,255, 27, 0, 38, -122
1457711050.767669,11.03.16,07:44:10.768,0,98,131,199, 27, 0, 38, -122
1457711050.855597,11.03.16,07:44:10.856,0,0,118,158, 27, 0, 38, -122
1457711050.947008,11.03.16,07:44:10.947,0,0,239,254, 27, 0, 38, -122
1457711051.067514,11.03.16,07:44:11.068,0,125,210,254, 27, 0, 38, -122
1457711051.155912,11.03.16,07:44:11.156,0,110,235,182, 27, 0, 38, -122
1457711051.247576,11.03.16,07:44:11.248,100,0,179,164, 28, 0, 38, -122
1457711051.367557,11.03.16,07:44:11.368,100,0,83,0, 29, 0, 38, -122
1457711051.487527,11.03.16,07:44:11.488,0,73,164,189, 29, 0, 38, -122
1457711051.551741,11.03.16,07:44:11.552,0,89,112,174, 29, 0, 38, -122
1457711051.697711,11.03.16,07:44:11.698,0,5,245,174, 29, 0, 38, -122
1457711051.761312,11.03.16,07:44:11.761,0,83,225,255, 29, 0, 38, -122
1457711051.847401,11.03.16,07:44:11.847,0,136,225,179, 29, 0, 38, -122
1457711051.972269,11.03.16,07:44:11.972,36,0,188,189, 30, 0, 38, -122
1457711052.057531,11.03.16,07:44:12.058,100,0,120,0, 31, 0, 38, -122
1457711052.147585,11.03.16,07:44:12.148,100,97,66,212, 32, 0, 38, -122
1457711052.267158,11.03.16,07:44:12.267,0,111,149,236, 32, 0, 38, -122
1457711052.356099,11.03.16,07:44:12.356,0,0,1,64, 32, 0, 38, -122
1457711052.447608,11.03.16,07:44:12.448,0,31,181,255, 32, 0, 38, -122
1457711052.567550,11.03.16,07:44:12.568,0,175,199,194, 32, 0, 38, -122
1457711052.657568,11.03.16,07:44:12.658,0,30,206,176, 32, 0, 38, -122
1457711052.778047,11.03.16,07:44:12.778,100,0,162,0, 33, 0, 38, -122
1457711052.867567,11.03.16,07:44:12.868,100,100,162,207, 34, 0, 38, -122
1457711052.956314,11.03.16,07:44:12.956,0,90,162,222, 34, 0, 38, -122
1457711053.077553,11.03.16,07:44:13.078,0,0,256,124, 34, 0, 38, -122
1457711053.167533,11.03.16,07:44:13.168,0,11,169,124, 34, 0, 38, -122
1457711053.257627,11.03.16,07:44:13.258,0,190,203,203, 34, 0, 38, -122
1457711053.377721,11.03.16,07:44:13.378,0,67,190,170, 34, 0, 38, -122
1457711053.467931,11.03.16,07:44:13.468,100,0,148,50, 35, 0, 38, -122
1457711053.557266,11.03.16,07:44:13.557,100,255,256,255, 36, 0, 38, -122
1457711053.677791,11.03.16,07:44:13.678,0,91,138,187, 36, 0, 38, -122
1457711053.767598,11.03.16,07:44:13.768,0,29,126,177, 36, 0, 38, -122
1457711053.855903,11.03.16,07:44:13.856,0,0,214,255, 36, 0, 38, -122
1457711053.977925,11.03.16,07:44:13.978,0,157,190,234, 36, 0, 38, -122
1457711054.067663,11.03.16,07:44:14.068,0,96,223,178, 36, 0, 38, -122
1457711054.157531,11.03.16,07:44:14.158,100,0,256,161, 37, 0, 38, -122
1457711054.307637,11.03.16,07:44:14.308,100,0,256,26, 38, 0, 38, -122
1457711054.375654,11.03.16,07:44:14.376,0,78,169,187, 38, 0, 38, -122
1457711054.458764,11.03.16,07:44:14.459,0,113,143,199, 38, 0, 38, -122
1457711054.607610,11.03.16,07:44:14.608,0,0,233,222, 38, 0, 38, -122
1457711054.670947,11.03.16,07:44:14.671,0,112,185,255, 38, 0, 38, -122
1457711054.756767,11.03.16,07:44:14.757,0,139,232,196, 38, 0, 38, -122
1457711054.877921,11.03.16,07:44:14.878,100,0,193,190, 39, 0, 38, -122
1457711054.967147,11.03.16,07:44:14.967,100,255,30,255, 40, 0, 38, -122
1457711055.087617,11.03.16,07:44:15.088,0,91,129,203, 40, 0, 38, -122
1457711055.177718,11.03.16,07:44:15.178,0,0,129,140, 40, 0, 38, -122
1457711055.267283,11.03.16,07:44:15.267,0,0,221,254, 40, 0, 38, -122
1457711055.355578,11.03.16,07:44:15.356,0,156,221,254, 40, 0, 38, -122
1457711055.477963,11.03.16,07:44:15.478,0,98,212,197, 40, 0, 38, -122
1457711055.567945,11.03.16,07:44:15.568,95,0,230,157, 41, 0, 38, -122
1457711055.657729,11.03.16,07:44:15.658,100,0,94,0, 42, 0, 38, -122
1457711055.838393,11.03.16,07:44:15.838,0,105,160,193, 42, 0, 38, -122
1457711055.903706,11.03.16,07:44:15.904,0,126,122,211, 42, 0, 38, -122
1457711055.957817,11.03.16,07:44:15.958,0,0,251,211, 42, 0, 38, -122
1457711056.078056,11.03.16,07:44:16.078,0,109,207,255, 42, 0, 38, -122
1457711056.167649,11.03.16,07:44:16.168,0,157,247,178, 42, 0, 38, -122
1457711056.287725,11.03.16,07:44:16.288,55,0,99,189, 43, 0, 38, -122
1457711056.378282,11.03.16,07:44:16.378,100,0,1,0, 44, 0, 38, -122
1457711056.467592,11.03.16,07:44:16.468,26,94,141,241, 45, 0, 38, -122
1457711056.587411,11.03.16,07:44:16.587,0,139,141,241, 45, 0, 38, -122
1457711056.707742,11.03.16,07:44:16.708,0,0,256,170, 45, 0, 38, -122
1457711056.771212,11.03.16,07:44:16.771,0,90,256,255, 45, 0, 38, -122
1457711056.887931,11.03.16,07:44:16.888,0,171,192,207, 45, 0, 38, -122
1457711056.978144,11.03.16,07:44:16.978,0,0,175,181, 45, 0, 38, -122
1457711057.067987,11.03.16,07:44:17.068,100,0,148,0, 46, 0, 38, -122
1457711057.187698,11.03.16,07:44:17.188,100,75,105,255, 47, 0, 38, -122
1457711057.277905,11.03.16,07:44:17.278,0,119,133,242, 47, 0, 38, -122
1457711057.367509,11.03.16,07:44:17.368,0,0,211,104, 47, 0, 38, -122
1457711057.487990,11.03.16,07:44:17.488,0,40,219,255, 47, 0, 38, -122
1457711057.577768,11.03.16,07:44:17.578,0,216,219,198, 47, 0, 38, -122
1457711057.698096,11.03.16,07:44:17.698,0,1,194,224, 47, 0, 38, -122
1457711057.787672,11.03.16,07:44:17.788,100,1,114,0, 48, 0, 38, -122
1457711057.877737,11.03.16,07:44:17.878,100,106,123,201, 49, 0, 38, -122
1457711057.967162,11.03.16,07:44:17.967,0,97,160,224, 49, 0, 38, -122
1457711058.088185,11.03.16,07:44:18.088,0,0,166,128, 49, 0, 38, -122
1457711058.178316,11.03.16,07:44:18.178,0,6,185,255, 49, 0, 38, -122
1457711058.267759,11.03.16,07:44:18.268,0,255,197,212, 49, 0, 38, -122
1457711058.387756,11.03.16,07:44:18.388,0,47,172,218, 49, 0, 38, -122
1457711058.507893,11.03.16,07:44:18.508,100,0,232,0, 50, 0, 38, -122
1457711058.575155,11.03.16,07:44:18.575,100,55,145,130, 51, 0, 38, -122
1457711058.687945,11.03.16,07:44:18.688,0,89,159,228, 51, 0, 38, -122
1457711058.807548,11.03.16,07:44:18.808,0,0,97,15, 51, 0, 38, -122
1457711058.872394,11.03.16,07:44:18.872,0,9,177,255, 51, 0, 38, -122
1457711058.987966,11.03.16,07:44:18.988,0,246,197,239, 51, 0, 38, -122
1457711059.078237,11.03.16,07:44:19.078,0,35,182,215, 51, 0, 38, -122
1457711059.167612,11.03.16,07:44:19.168,100,0,158,0, 52, 0, 38, -122
1457711059.286227,11.03.16,07:44:19.286,100,123,174,205, 53, 0, 38, -122
1457711059.377934,11.03.16,07:44:19.378,0,89,167,229, 53, 0, 38, -122
1457711059.467699,11.03.16,07:44:19.468,0,176,256,127, 53, 0, 38, -122
1457711059.588120,11.03.16,07:44:19.588,0,0,168,255, 53, 0, 38, -122
1457711059.678001,11.03.16,07:44:19.678,0,230,220,220, 53, 0, 38, -122
1457711059.828211,11.03.16,07:44:19.828,0,69,180,194, 53, 0, 38, -122
1457711059.915705,11.03.16,07:44:19.916,100,0,160,194, 54, 0, 38, -122
1457711059.989507,11.03.16,07:44:19.990,100,80,127,173, 55, 0, 38, -122
1457711060.097839,11.03.16,07:44:20.098,0,89,155,219, 55, 0, 38, -122
1457711060.187662,11.03.16,07:44:20.188,0,0,256,219, 55, 0, 38, -122
1457711060.278118,11.03.16,07:44:20.278,0,0,189,255, 55, 0, 38, -122
1457711060.398223,11.03.16,07:44:20.398,0,207,216,224, 55, 0, 38, -122
1457711060.487833,11.03.16,07:44:20.488,0,50,197,178, 55, 0, 38, -122
1457711060.577834,11.03.16,07:44:20.578,100,0,154,84, 56, 0, 38, -122
1457711060.698236,11.03.16,07:44:20.698,100,0,1,157, 57, 0, 38, -122
1457711060.786014,11.03.16,07:44:20.786,0,86,129,186, 57, 0, 38, -122
1457711060.877800,11.03.16,07:44:20.878,0,57,129,186, 57, 0, 38, -122
1457711061.001799,11.03.16,07:44:21.002,0,0,223,252, 57, 0, 38, -122
1457711061.087694,11.03.16,07:44:21.088,0,158,201,239, 57, 0, 38, -122
