Timestamp,Date,Time,Type, Pressure,FrontAngle,SideAngle,UpAngle
1459356946.773539,30.03.16,09:55:46.774,Fore,9,96,122,194
1459356946.726119,30.03.16,09:55:46.726,Fore,56,96,122,194
1459356946.719960,30.03.16,09:55:46.720,Fore,67,96,122,194
1459356946.713023,30.03.16,09:55:46.713,Fore,73,96,122,194
1459356946.694013,30.03.16,09:55:46.694,Fore,71,96,122,194
1459356946.683439,30.03.16,09:55:46.683,Fore,77,96,122,194
1459356946.682458,30.03.16,09:55:46.682,Fore,75,96,122,194
1459356946.659590,30.03.16,09:55:46.660,Fore,79,96,122,185
1459356946.655399,30.03.16,09:55:46.655,Fore,82,96,122,185
1459356946.650848,30.03.16,09:55:46.651,Fore,81,96,122,185
1459356946.634416,30.03.16,09:55:46.634,Fore,75,96,122,185
1459356946.629764,30.03.16,09:55:46.630,Fore,66,96,122,185
1459356946.625565,30.03.16,09:55:46.626,Fore,68,96,122,185
1459356946.600674,30.03.16,09:55:46.601,Fore,66,96,122,185
1459356946.593545,30.03.16,09:55:46.594,Fore,62,96,122,185
1459356946.592823,30.03.16,09:55:46.593,Fore,60,96,122,185
1459356946.572100,30.03.16,09:55:46.572,Fore,57,129,122,185
1459356946.567402,30.03.16,09:55:46.567,Fore,52,129,122,185
1459356946.561728,30.03.16,09:55:46.562,Fore,46,129,122,185
1459356946.540979,30.03.16,09:55:46.541,Fore,34,129,122,185
1459356946.536343,30.03.16,09:55:46.536,Fore,19,129,122,185
1459356946.531060,30.03.16,09:55:46.531,Fore,10,129,122,185
1459356945.548176,30.03.16,09:55:45.548,Fore,6,109,136,191
1459356945.543069,30.03.16,09:55:45.543,Fore,58,109,136,191
1459356945.531610,30.03.16,09:55:45.532,Fore,67,109,136,191
1459356945.525490,30.03.16,09:55:45.525,Fore,60,109,136,191
1459356945.511313,30.03.16,09:55:45.511,Fore,61,109,136,191
1459356945.486045,30.03.16,09:55:45.486,Fore,56,109,136,191
1459356945.482036,30.03.16,09:55:45.482,Fore,21,109,136,191
1459356944.669969,30.03.16,09:55:44.670,Fore,62,95,136,197
1459356944.666827,30.03.16,09:55:44.667,Fore,92,95,136,197
1459356944.662189,30.03.16,09:55:44.662,Fore,99,95,136,197
1459356944.575711,30.03.16,09:55:44.576,Fore,100,95,136,197
1459356944.571619,30.03.16,09:55:44.572,Fore,100,95,136,197
1459356944.537949,30.03.16,09:55:44.538,Fore,100,95,136,197
1459356944.500056,30.03.16,09:55:44.500,Fore,100,95,136,197
1459356944.491946,30.03.16,09:55:44.492,Fore,100,95,136,197
1459356944.489464,30.03.16,09:55:44.489,Fore,100,95,136,197
1459356944.467175,30.03.16,09:55:44.467,Fore,100,92,139,188
1459356944.462454,30.03.16,09:55:44.462,Fore,100,92,139,188
1459356944.442747,30.03.16,09:55:44.443,Fore,100,92,139,188
1459356944.438182,30.03.16,09:55:44.438,Fore,100,92,139,188
1459356944.433404,30.03.16,09:55:44.433,Fore,100,92,139,188
1459356944.413902,30.03.16,09:55:44.414,Fore,100,92,139,188
1459356944.407639,30.03.16,09:55:44.408,Fore,99,92,139,188
1459356944.402823,30.03.16,09:55:44.403,Fore,95,92,139,188
1459356944.381434,30.03.16,09:55:44.381,Fore,90,92,139,188
1459356944.377370,30.03.16,09:55:44.377,Fore,91,92,139,188
1459356944.372987,30.03.16,09:55:44.373,Fore,88,92,139,188
1459356944.354759,30.03.16,09:55:44.355,Fore,77,92,139,188
1459356944.348753,30.03.16,09:55:44.349,Fore,70,92,139,188
1459356944.342829,30.03.16,09:55:44.343,Fore,63,92,139,188
1459356944.323325,30.03.16,09:55:44.323,Fore,67,92,139,188
1459356944.318628,30.03.16,09:55:44.319,Fore,67,92,139,188
1459356944.313966,30.03.16,09:55:44.314,Fore,76,92,139,188
1459356944.287517,30.03.16,09:55:44.288,Fore,76,92,139,188
1459356944.283118,30.03.16,09:55:44.283,Fore,88,92,139,188
1459356944.261584,30.03.16,09:55:44.262,Fore,89,95,157,188
1459356944.255559,30.03.16,09:55:44.256,Fore,92,95,157,188
1459356944.250337,30.03.16,09:55:44.250,Fore,92,95,157,188
1459356944.230169,30.03.16,09:55:44.230,Fore,90,95,157,188
1459356944.225005,30.03.16,09:55:44.225,Fore,87,95,157,188
1459356944.220725,30.03.16,09:55:44.221,Fore,85,95,157,188
1459356944.197185,30.03.16,09:55:44.197,Fore,81,95,157,188
1459356944.189348,30.03.16,09:55:44.189,Fore,81,95,157,188
1459356944.188190,30.03.16,09:55:44.188,Fore,60,95,157,188
1459356944.164647,30.03.16,09:55:44.165,Fore,15,0,1,213
1459356943.506704,30.03.16,09:55:43.507,Fore,39,74,194,0
1459356943.481873,30.03.16,09:55:43.482,Fore,85,74,194,0
1459356943.477427,30.03.16,09:55:43.477,Fore,100,74,194,0
